Timestamp(ms),Corrente(mA)
25888,0.50
26001,0.40
26114,0.20
26227,0.20
26340,0.50
26453,0.20
26566,0.20
26679,0.00
26792,0.30
26905,0.50
27018,0.70
27131,0.00
27244,0.20
27357,0.30
27470,0.50
27583,0.50
27696,0.30
27809,0.30
27922,0.30
28035,0.50
28148,0.60
28261,0.30
28374,0.50
28487,-32.10
28600,-36.50
28713,-28.00
28826,-29.30
28939,-36.10
29052,-29.90
29165,-30.00
29278,-30.50
29391,-34.20
29504,-30.20
29617,-35.50
29730,-29.90
29843,-30.00
29956,-35.60
30069,-34.70
30182,-29.80
30295,-30.10
30408,-30.50
30521,-30.20
30634,-29.90
30747,-33.90
30860,-30.10
30973,-30.00
31086,-29.80
31199,-34.50
31312,-30.00
31425,-30.20
31538,-30.40
31651,-30.20
31764,-36.30
31877,-34.60
31990,-30.20
32103,-34.70
32216,-29.90
32329,-35.90
32442,-30.20
32555,-36.30
32668,-30.30
32781,-30.40
32894,-34.70
33007,-35.90
33120,-30.30
33233,-30.10
33346,-30.10
33459,-35.70
33572,-35.90
33685,-35.70
33798,-35.50
33911,-30.10
34024,-29.90
34137,-30.50
34250,-30.40
34363,-39.00
34476,-34.50
34589,-33.80
34702,-36.00
34815,-33.30
34928,-34.70
35041,-34.10
35154,-30.30
35267,-30.00
35380,-30.30
35493,-29.60
35606,-35.80
35719,-30.20
35832,-30.00
35945,-29.80
36058,-30.40
36171,-34.70
36284,-34.90
36397,-35.30
36510,-30.30
36623,-30.30
36736,-30.00
36849,-30.10
36962,-29.90
37075,-30.10
37188,-35.50
37301,-35.80
37414,-34.40
37527,-30.50
37640,-35.40
37753,-35.00
37866,-30.10
37979,-29.60
38092,-36.20
38205,-30.20
38318,-32.90
38431,-36.10
38544,-30.20
38657,-30.20
38770,-30.20
38883,-34.40
38996,-34.50
39109,-36.10
39222,-30.10
39335,-30.10
39448,-35.90
39561,-36.10
39674,-35.80
39787,-29.80
39900,-34.80
40013,-36.00
40126,-30.20
40239,-30.30
40352,-36.50
40465,-30.10
40578,-34.00
40691,-29.90
40804,-30.30
40917,-30.30
41030,-30.00
41143,-35.90
41256,-30.20
41369,-33.80
41482,-36.20
41595,-30.30
41708,-34.40
41821,-29.80
41934,-35.40
42047,-32.00
42160,-37.00
42273,-38.80
42386,-30.20
42499,-30.00
42612,-35.70
42725,-35.80
42838,-34.50
42951,-29.60
43064,-30.00
43177,-30.30
43290,-30.30
43403,-30.20
43516,-30.20
43629,-36.00
43742,-34.30
43855,-35.80
43968,-30.20
44081,-33.60
44194,-34.20
44307,-35.90
44420,-30.30
44533,-30.00
44646,-39.20
44759,-34.60
44872,-34.60
44985,-30.20
45098,-33.50
45211,-30.10
45324,-29.90
45437,-30.10
45550,-36.40
45663,-30.00
45776,-30.10
45889,-29.80
46002,-30.20
46115,-29.90
46228,-30.50
46341,-29.90
46454,-35.80
46567,-35.20
46680,-30.20
46793,-35.90
46906,-30.30
47019,-31.50
47132,-34.40
47245,-34.20
47358,-30.30
47471,-36.00
47584,-36.40
47697,-35.80
47810,-33.60
47923,-36.00
48036,-30.50
48149,-29.60
48262,-29.70
48375,-35.40
48488,-33.80
48601,-35.90
48714,-30.30
48827,-30.30
48940,-34.50
49053,-30.00
49166,-30.00
49279,-30.10
49392,-29.60
49505,-29.90
49618,-35.30
49731,-29.80
49844,-30.00
49957,-35.90
50070,-34.90
50183,-35.00
50296,-39.00
50409,-33.20
50522,-29.80
50635,-30.00
50748,-30.50
50861,-36.80
50974,-36.10
51087,-30.10
51200,-35.60
51313,-30.00
51426,-30.10
51539,-30.20
51652,-34.70
51765,-30.30
51878,-33.80
51991,-30.20
52104,-35.70
52217,-35.70
52330,-36.00
52443,-30.50
52556,-36.50
52669,-34.30
52782,-30.30
52895,-35.80
53008,-34.30
53121,-35.30
53234,-33.80
53347,-33.30
53460,-35.80
53573,-30.30
53686,-30.20
53799,-33.50
53912,-29.60
54025,-30.30
54138,-30.10
54251,-30.10
54364,-30.30
54477,-35.10
