Timestamp(ms),Corrente(mA)
10,0.30
124,0.40
237,0.20
350,0.00
463,0.30
576,0.30
689,0.30
802,0.40
915,0.10
1028,0.00
1141,0.20
1254,0.30
1367,0.40
1480,0.30
1593,0.50
1706,0.30
1819,0.30
1932,0.30
2045,0.20
2158,0.00
2271,0.40
2384,-21.30
2497,-37.30
2610,-29.00
2723,-35.90
2836,-33.70
2949,-33.90
3062,-29.30
3175,-34.10
3288,-30.00
3401,-33.90
3514,-29.30
3627,-29.30
3740,-29.80
3853,-34.20
3966,-29.00
4079,-29.20
4192,-35.30
4305,-33.70
4418,-33.90
4531,-29.10
4644,-34.10
4757,-34.90
4870,-29.40
4983,-34.90
5096,-35.20
5209,-29.60
5322,-29.40
5435,-29.50
5548,-29.70
5661,-35.00
5774,-32.20
5887,-29.50
6000,-29.50
6113,-29.40
6226,-29.40
6339,-29.20
6452,-38.50
6565,-38.30
6678,-29.70
6791,-29.40
6904,-29.40
7017,-29.30
7130,-29.50
7243,-34.50
7356,-33.70
7469,-29.30
7582,-29.20
7695,-29.30
7808,-33.90
7921,-33.70
8034,-29.60
8147,-29.50
8260,-35.60
8373,-29.50
8486,-33.70
8599,-29.20
8712,-35.30
8825,-33.70
8938,-29.60
9051,-35.00
9164,-29.50
9277,-29.50
9390,-29.20
9503,-29.50
9616,-34.10
9729,-33.90
9842,-34.90
9955,-29.20
10068,-30.10
10181,-33.20
10294,-29.40
10407,-29.70
10520,-29.60
10633,-33.70
10746,-33.80
10859,-29.40
10972,-35.10
11085,-34.60
11198,-29.60
11311,-29.10
11424,-29.20
11537,-29.30
11650,-35.20
11763,-34.00
11876,-32.80
11989,-33.80
12102,-33.70
12215,-29.60
12328,-34.20
12441,-34.20
12554,-29.40
12667,-29.30
12780,-29.50
12893,-29.20
13006,-29.60
13119,-29.60
13232,-29.60
13345,-29.50
13458,-34.80
13571,-33.80
13684,-34.00
13797,-29.20
13910,-35.30
14023,-35.40
14136,-33.60
14249,-29.10
14362,-29.30
14475,-33.60
14588,-29.60
14701,-29.30
14814,-29.30
14927,-29.40
15040,-34.50
15153,-35.00
15266,-33.90
15379,-33.90
15492,-29.40
15605,-35.50
15718,-34.00
15831,-31.90
15944,-29.40
16057,-29.40
16170,-29.30
16283,-29.60
16396,-29.60
16509,-29.40
16622,-34.10
16735,-33.90
16848,-34.00
16961,-29.20
17074,-35.10
17187,-29.40
17300,-29.40
17413,-29.20
17526,-29.10
17639,-34.70
17752,-35.10
17865,-29.40
17978,-29.70
18091,-33.70
18204,-34.10
18317,-34.20
18430,-35.10
18543,-35.20
18656,-33.20
18769,-34.00
18882,-29.40
18995,-33.70
19108,-34.40
19221,-29.10
19334,-29.30
19447,-29.40
19560,-39.20
19673,-34.60
19786,-35.30
19899,-34.60
20012,-34.60
20125,-29.40
20238,-29.60
20351,-29.30
20464,-34.20
20577,-29.50
20690,-35.10
20803,-29.40
20916,-29.30
21029,-35.00
21142,-29.30
21255,-29.50
21368,-29.60
21481,-32.90
21594,-29.50
21707,-29.20
21820,-29.30
21933,-29.50
22046,-29.30
22159,-33.20
22272,-29.20
22385,-35.10
22498,-33.90
22611,-29.60
22724,-29.30
22837,-29.20
22950,-29.40
23063,-29.20
23176,-38.10
23289,-29.30
23402,-34.40
23515,-35.10
23628,-34.80
23741,-35.00
23854,-29.30
23967,-34.30
24080,-29.50
24193,-29.30
24306,-29.50
24419,-29.40
24532,-29.60
24645,-29.20
24758,-29.80
24871,-29.40
24984,-29.30
25097,-34.90
25210,-29.20
25323,-35.20
25436,-29.40
25549,-29.30
25662,-29.50
25775,-35.10
25888,-33.80
26001,-34.80
26114,-34.10
26227,-35.30
26340,-29.40
26453,-29.40
26566,-35.30
26679,-29.60
26792,-29.40
26905,-29.30
27018,-29.80
27131,-29.50
27244,-34.50
27357,-29.20
27470,-29.40
27583,-35.20
27696,-35.30
27809,-35.00
27922,-33.90
28035,-35.00
28148,-30.10
28261,-34.10
28374,-29.20
28487,-34.50
28600,-29.50
28713,-29.60
28826,-29.30
28939,-34.80
29052,-33.80
29165,-29.40
29278,-29.60
29391,-29.50
29504,-29.50
29617,-38.60
29730,-29.50
29843,-28.90
29956,-34.80
30069,-33.20
30182,-34.10
30295,-29.60
30408,-29.70
30521,-29.40
30634,-29.40
30747,-35.10
30860,-29.60
30973,-29.50
31086,-33.80
31199,-34.30
31312,-29.50
31425,-34.90
31538,-29.60
31651,-33.80
31764,-29.80
31877,-29.50
31990,-29.20
32103,-32.50
32216,-29.40
32329,-29.10
32442,-29.30
32555,-34.10
32668,-29.60
32781,-29.80
32894,-29.60
33007,-29.20
33120,-29.80
33233,-29.50
33346,-35.30
33459,-29.30
33572,-29.50
33685,-33.70
33798,-34.70
33911,-29.50
34024,-29.40
34137,-29.60
34250,-29.20
34363,-29.50
34476,-29.40
34589,-29.50
34702,-29.20
34815,-29.50
34928,-34.60
35041,-29.50
35154,-35.20
35267,-29.60
35380,-33.90
35493,-29.50
35606,-29.30
35719,-34.00
35832,-29.60
35945,-29.40
36058,-34.00
36171,-29.50
36284,-33.90
36397,-35.30
36510,-29.50
36623,-33.80
36736,-29.40
36849,-35.40
36962,-33.40
37075,-34.40
37188,-33.90
37301,-29.90
37414,-34.60
37527,-29.60
37640,-29.30
37753,-29.40
37866,-29.20
37979,-29.20
38092,-29.40
38205,-38.40
